Name,DOB,Mythic_Part_1,Mythic_Part_2,Mythic_Part_3,Mythic_Part_4,Mythic_Part_5,Mythic_Part_6,Mythic_Part_7
Aarav Sharma,1994-07-29,Healer,Storm-bound,Oracle of Echoes,Tiger,Disciple of Anubis,Runebound,Seeker of Hidden Truths
Maya Verma,2003-07-30,Hero,Moon-woven,Guardian of the Labyrinth,Raven,Child of Odin,Echo-driven,Breaker of Chains
Rudra Singh,2008-01-31,Hero,Earth-rooted,Bearer of Fire,Raven,Follower of Kali,Runebound,Keeper of Ancient Runes
Leela Banerjee,2006-04-19,Rebel,Earth-rooted,Guardian of the Labyrinth,Phoenix,Child of Odin,Flame-baptized,Voice of Forgotten Realms
Kian Rao,1987-08-30,Healer,Moon-woven,Oracle of Echoes,Serpent,Child of Odin,Crystal-hearted,Shifter of Realities
Zara Menon,1993-05-05,Hero,Sky-chosen,Guardian of the Labyrinth,Phoenix,Child of Odin,Echo-driven,Keeper of Ancient Runes
Vivaan Joshi,1985-09-06,Seer,Sun-aligned,Guardian of the Labyrinth,Wolf,Follower of Kali,Echo-driven,Shifter of Realities
Ira Kapoor,2000-02-03,Hero,Earth-rooted,Child of Chaos,Serpent,Dreamer of Athena,Flame-baptized,Seeker of Hidden Truths
Rohan Desai,1999-03-02,Mystic,Moon-woven,Wanderer of Stars,Serpent,Disciple of Anubis,Echo-driven,Breaker of Chains
Naina Mehta,2005-08-25,Seer,Sky-chosen,Guardian of the Labyrinth,Raven,Child of Odin,Echo-driven,Shifter of Realities
